winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity,maridaje
Teso La Monja,Tinto,2013,4.9,58,Espana,Toro,995.0,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
Artadi,Vina El Pison,2018,4.9,31,Espana,Vino de Espana,313.5,Tempranillo,4.0,2.0,"Carnes rojas, quesos curados"
Vega Sicilia,Unico,2009,4.8,1793,Espana,Ribera del Duero,324.95,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1999,4.8,1705,Espana,Ribera del Duero,692.96,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1996,4.8,1309,Espana,Ribera del Duero,778.06,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1998,4.8,1209,Espana,Ribera del Duero,490.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2010,4.8,1201,Espana,Ribera del Duero,349.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1995,4.8,926,Espana,Ribera del Duero,810.89,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643,Espana,Ribera del Duero,345.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,2011,4.8,630,Espana,Ribera del Duero,315.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591,Espana,Ribera del Duero,514.85,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Pago de Carraovejas,El Anejon,2016,4.8,454,Espana,Ribera del Duero,105.15,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438,Espana,Ribera del Duero,430.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1970,4.8,417,Espana,Ribera del Duero,925.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Toro Albala,Don PX Convento Seleccion,1946,4.8,398,Espana,Montilla-Moriles,350.0,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372,Espana,Ribera del Duero,166.18,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1962,4.8,295,Espana,Ribera del Duero,1620.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico Reserva Especial Edicion,2019,4.8,250,Espana,Ribera del Duero,431.36,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Bodegas El Nido,El Nido,2018,4.8,217,Espana,Jumilla,195.627379550654,Red,4.0,3.0,"Carnes, pastas, quesos"
Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211,Espana,Ribera del Duero,824.43,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Valdespino,Toneles Moscatel,N.V.,4.8,174,Espana,Jerez-Xeres-Sherry,253.0,Sherry,4.0,3.0,"Aperitivos, sopas, mariscos"
Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,172,Espana,Ribera del Duero,570.51,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Dominio de Pingus,Pingus,2016,4.8,145,Espana,Ribera del Duero,1280.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Toro Albala,Don PX Convento Seleccion,1931,4.8,139,Espana,Montilla-Moriles,244.85,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,125,Espana,Ribera del Duero,719.34,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico,1979,4.8,118,Espana,Ribera del Duero,815.0,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Toro Albala,Don PX Pedro Ximenez,1946,4.8,103,Espana,Montilla-Moriles,285.86,Pedro Ximenez,5.0,1.0,"Postres, quesos azules"
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,87,Espana,Priorato,1410.26,Priorat Red,4.0,3.0,"Carnes rojas, guisos"
Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,87,Espana,Ribera del Duero,813.96,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Vega Sicilia,Unico Reserva Especial Edicion,2020,4.8,84,Espana,Ribera del Duero,435.75,Ribera Del Duero Red,5.0,3.0,"Carnes rojas, cordero"
Ordonez,Vatan Arena Tinta de Toro,2014,4.8,79,Espana,Toro,369.05,Toro Red,5.0,3.0,"Carnes rojas, embutidos"
